Customer_ID,Product_ID,Transaction_ID,Purchase_Frequency,Average_Order_Value,Most_Frequent_Category,Time_Between_Purchases,Region,Churn_Probability,Lifetime_Value,Launch_Date,Peak_Sales_Date,Season,Preferred_Purchase_Times,Retention_Strategy,Sales Amount,Cost,Profit,Units Sold,Sales Date,Profit Margin
CUST_EF8557,PROD_P2DMGE,TRANS_29D2I2,10,139.31,Sports,78,Asia,0.78,6578.3,2022-02-05,2023-11-29,Winter,Evening,Email Campaign,1590.7869905017349,77.48246984800029,1513.3045206537345,136,2023-05-22,95.12929950328784
CUST_792ZPI,PROD_JLOC27,TRANS_X42QD9,3,141.64,Home,24,North America,0.2,5902.92,2020-06-04,2023-04-15,Spring,Evening,Email Campaign,2671.306514997965,998.5001507835036,1672.8063642144616,445,2023-02-12,62.621281190404154
CUST_CNYAZK,PROD_2EQ5LO,TRANS_T73AG3,18,39.17,Clothing,63,North America,0.69,5264.38,2022-01-09,2023-10-15,Fall,Evening,Loyalty Program,2216.530591346367,448.18842869938675,1768.3421626469803,353,2023-04-28,79.77973187245082
CUST_45L1B8,PROD_XFBU9X,TRANS_S38KSO,18,139.37,Sports,69,South America,0.42,9127.85,2022-03-30,2023-07-08,Winter,Evening,Loyalty Program,1527.0227869704054,1077.8349033462268,449.18788362417854,394,2023-02-28,29.415925384804627
CUST_99ZA53,PROD_2E3MNX,TRANS_O6PCG7,17,105.73,Sports,36,North America,0.66,194.59,2020-04-27,2023-03-16,Spring,Afternoon,Email Campaign,3098.0791841396594,749.3210133871697,2348.7581707524896,994,2023-03-02,75.81336793380711
CUST_NWGN1Z,PROD_R1Y19O,TRANS_38FJVY,14,93.03,Sports,53,North America,0.78,3845.95,2021-03-12,2023-05-23,Summer,Evening,Email Campaign,783.519917195005,162.65409811266056,620.8658190823444,275,2023-02-10,79.24059177781199
CUST_EA95KF,PROD_R6QGPV,TRANS_XB0SUN,16,166.36,Home,83,Asia,0.88,5125.94,2021-03-05,2023-02-07,Winter,Morning,Email Campaign,1531.5087778225688,3641.7513783038953,-2110.2426004813265,384,2023-10-01,-137.78847572010494
CUST_5RUZ9U,PROD_KCO2XQ,TRANS_N2ZWKU,11,106.34,Home,41,North America,0.17,627.2,2020-03-20,2023-11-04,Winter,Evening,Loyalty Program,1895.1730321390894,82.48136898612152,1812.691663152968,910,2023-07-07,95.6478185586556
CUST_T95LCL,PROD_V9G363,TRANS_19AA2Z,19,58.13,Home,39,Europe,0.83,1794.11,2020-04-11,2023-09-27,Summer,Evening,Discount,2334.742922663476,2957.5244701314873,-622.7815474680115,323,2023-12-01,-26.674523409949646
CUST_MD1TF0,PROD_VWJAW6,TRANS_5QZIZO,9,100.65,Electronics,29,North America,0.82,9709.29,2021-07-11,2023-08-03,Fall,Evening,Email Campaign,3947.362210825767,650.9841533320903,3296.3780574936764,183,2023-07-06,83.5083755033489
CUST_2H3FIT,PROD_LLJO26,TRANS_BN90ZR,11,138.91,Electronics,36,South America,0.45,1699.1,2022-10-31,2023-04-20,Fall,Evening,Email Campaign,1078.4015325759628,3653.3070068984202,-2574.9054743224574,573,2023-08-16,-238.77056889670922
CUST_ASIAQN,PROD_A0GGZN,TRANS_XZMA7R,4,179.37,Home,12,Europe,0.28,3526.92,2021-11-16,2023-04-19,Summer,Evening,Discount,2619.748748226697,3576.543961380049,-956.795213153352,440,2023-06-13,-36.52240367710854
CUST_5VD1AF,PROD_9FP1KM,TRANS_2REXOG,18,47.25,Clothing,54,Europe,0.55,3666.4,2020-11-03,2023-06-07,Fall,Afternoon,Email Campaign,3002.831387424008,2632.9095281585664,369.9218592654415,63,2023-10-13,12.31910192542581
CUST_5C973R,PROD_DNB9HU,TRANS_4IYIU0,7,165.36,Home,12,Asia,0.76,2028.94,2022-09-30,2023-09-24,Winter,Evening,Discount,327.60702232798883,2705.32489171239,-2377.717869384401,873,2023-04-12,-725.783547766541
CUST_G8HU0Y,PROD_67CKAZ,TRANS_21LPF7,13,169.44,Electronics,31,South America,0.36,4558.4,2022-11-01,2023-01-29,Spring,Evening,Loyalty Program,3076.969774317048,71.08961078026975,3005.8801635367786,727,2023-09-24,97.68962271343571
CUST_2KHJ4Y,PROD_0VHFS7,TRANS_9AIGGW,1,138.29,Electronics,66,Asia,0.27,2053.08,2020-09-30,2023-05-18,Summer,Afternoon,Email Campaign,935.5682060677285,3940.242686148728,-3004.6744800809993,872,2023-05-04,-321.160387943269
CUST_OL6Z6A,PROD_SMVS94,TRANS_7Y5D04,12,101.33,Sports,87,North America,0.95,3860.4,2022-06-09,2023-04-14,Summer,Afternoon,Discount,418.75280562786963,3517.438784124467,-3098.6859784965973,651,2023-06-02,-739.9797534133506
CUST_80XT8K,PROD_85FXS1,TRANS_CF2UIG,2,51.68,Clothing,37,South America,0.27,7406.47,2022-03-26,2023-03-14,Winter,Evening,Discount,4749.539132541333,3585.6695916338635,1163.8695409074694,943,2023-06-28,24.504894231384476
CUST_MSNQX0,PROD_SFPDI5,TRANS_I69T9V,14,48.23,Home,69,South America,0.46,933.63,2020-12-12,2023-01-22,Winter,Evening,Email Campaign,4831.59696206534,2654.015921350944,2177.5810407143963,646,2023-03-07,45.069592058513834
CUST_4XM4T8,PROD_AYJHII,TRANS_QODMWY,19,58.92,Sports,50,South America,0.97,6527.21,2021-03-24,2023-11-07,Fall,Evening,Discount,4061.1470057706597,1411.9083681854192,2649.23863758524,34,2023-04-09,65.23375376022642
CUST_NMIM67,PROD_QRJOQQ,TRANS_X1J6WF,5,37.72,Sports,79,Asia,0.16,9937.12,2022-08-14,2023-10-12,Winter,Afternoon,Loyalty Program,1592.6074689495163,3579.912163907399,-1987.304694957883,705,2023-01-24,-124.7830826932332
CUST_G3CBW1,PROD_4XTTVE,TRANS_XROLFW,2,61.25,Electronics,10,North America,0.98,3585.45,2021-03-01,2023-08-25,Fall,Afternoon,Email Campaign,578.593358631281,1201.4918661972097,-622.8985075659286,867,2023-11-29,-107.65738981855162
CUST_LMWRL7,PROD_JSTXXZ,TRANS_6QAZQ4,9,46.48,Clothing,39,North America,0.59,6308.82,2021-11-09,2023-11-24,Fall,Evening,Discount,3452.741829909569,2272.7105962017013,1180.0312337078676,985,2023-09-06,34.17664255942281
CUST_BP1CZW,PROD_38AOV5,TRANS_YH9TT9,19,23.99,Sports,17,South America,0.93,4860.19,2020-08-23,2023-05-22,Summer,Afternoon,Discount,2256.7472193240465,443.93734075833544,1812.809878565711,832,2023-06-14,80.32844188498409
CUST_V6TG3I,PROD_IS1C0S,TRANS_XHU7MO,4,182.98,Clothing,59,Europe,0.94,4384.96,2020-11-10,2023-01-02,Fall,Evening,Email Campaign,697.9873507394162,3691.7247390243633,-2993.737388284947,477,2023-04-04,-428.909977396226
CUST_PBDQSR,PROD_0SQDEQ,TRANS_21805X,5,99.78,Home,52,North America,0.44,3917.09,2020-10-29,2023-06-18,Winter,Evening,Email Campaign,2526.366859545224,606.0433081962926,1920.3235513489315,87,2023-12-09,76.01127065507075
CUST_4D8TQ7,PROD_9Y47SE,TRANS_URXRPO,2,144.04,Electronics,78,Europe,0.11,6457.94,2021-03-20,2023-01-28,Summer,Evening,Email Campaign,268.50375346457014,938.3423826351087,-669.8386291705385,210,2023-05-04,-249.47086233523575
CUST_PE88A7,PROD_IGQ04T,TRANS_4GHR21,16,147.99,Home,28,Asia,0.54,9793.48,2022-04-10,2023-01-15,Fall,Afternoon,Email Campaign,4555.6699701860325,2254.629924606449,2301.0400455795834,462,2023-10-29,50.5093665835855
CUST_FQDNFA,PROD_RA21TR,TRANS_XZ3ATJ,6,43.79,Electronics,48,North America,0.78,2071.72,2021-07-08,2023-09-07,Winter,Afternoon,Loyalty Program,1368.0219098400828,3068.1673508412773,-1700.1454410011945,81,2023-06-05,-124.27764707364489
CUST_5LNW0H,PROD_KK674F,TRANS_6Z1WNL,9,140.74,Electronics,33,Europe,0.97,4032.5,2020-12-07,2023-09-11,Summer,Afternoon,Email Campaign,3346.3591933345115,2496.4376584483807,849.9215348861308,322,2023-12-15,25.39839526429374
CUST_5YEMJD,PROD_BQZPQW,TRANS_QFA4GW,10,168.79,Sports,71,Asia,0.6,4170.08,2022-03-29,2023-07-20,Summer,Evening,Loyalty Program,1627.3842728381137,966.9289555606168,660.4553172774969,415,2023-09-06,40.583857685049445
CUST_QU7QVL,PROD_LMZ8FO,TRANS_RKYSMN,4,180.07,Clothing,38,Europe,0.28,5093.39,2021-07-13,2023-10-05,Spring,Afternoon,Discount,2648.3333037712728,53.725017983586824,2594.608285787686,851,2023-09-28,97.97136493706886
CUST_29DO3Z,PROD_G9QAZF,TRANS_RRYEW5,3,151.9,Home,33,Europe,0.24,1686.06,2022-08-08,2023-10-15,Winter,Afternoon,Discount,2778.8803687820705,3040.7447922143847,-261.8644234323142,992,2023-02-27,-9.423378795794807
CUST_L6Y0LJ,PROD_QSBLCY,TRANS_5LGI9O,13,54.2,Clothing,69,North America,0.26,8156.23,2022-07-20,2023-10-03,Summer,Evening,Email Campaign,1005.7868320750825,3941.5689373488203,-2935.7821052737377,190,2023-07-14,-291.8890973365398
CUST_3CJ2R1,PROD_NV7ANP,TRANS_Z85T6R,4,70.04,Sports,33,Asia,0.18,4456.32,2022-02-04,2023-07-25,Fall,Afternoon,Loyalty Program,4850.9646760463365,3249.156825209057,1601.8078508372796,950,2023-07-20,33.02039816424298
CUST_TWR7Q9,PROD_MKX3U2,TRANS_XWNAU4,11,79.79,Electronics,24,South America,0.92,3278.04,2021-04-26,2023-11-07,Spring,Morning,Loyalty Program,3898.150834469461,1867.8161417186307,2030.3346927508305,860,2023-03-13,52.08455955058392
CUST_BT8F7N,PROD_VP1C85,TRANS_BN4GLI,7,141.62,Home,34,Asia,0.24,8513.1,2021-08-27,2023-06-16,Summer,Evening,Discount,4703.544813664526,3619.880682526471,1083.6641311380554,233,2023-09-04,23.039307034767546
CUST_44WU3H,PROD_DLW1HT,TRANS_OZSTC6,17,25.67,Electronics,25,North America,0.99,9777.23,2021-03-01,2023-06-03,Summer,Morning,Email Campaign,4484.6540170954795,1668.8983088174825,2815.7557082779967,392,2023-04-08,62.786464631259165
CUST_9CCEOL,PROD_V7YPR0,TRANS_3C9IZ7,8,121.15,Home,73,North America,0.04,7429.9,2021-12-01,2023-01-18,Fall,Evening,Loyalty Program,3029.7098961743172,2123.4896327616966,906.2202634126206,938,2023-11-25,29.911123324280165
CUST_5CMJNC,PROD_REQDDN,TRANS_E7YDDY,5,159.29,Clothing,23,North America,1.0,9884.14,2020-03-12,2023-01-31,Winter,Morning,Loyalty Program,4617.183751613273,1934.662581212949,2682.521170400324,169,2023-03-22,58.09864442720164
CUST_RIOS1B,PROD_7M7FN6,TRANS_P8HBGJ,7,143.17,Electronics,71,North America,0.75,9939.87,2021-09-29,2023-10-04,Spring,Evening,Discount,533.6132600544056,1818.1142970288236,-1284.501036974418,443,2023-03-06,-240.7176007664154
CUST_UHM0W0,PROD_I8BK7H,TRANS_DRQVRX,18,112.91,Sports,10,South America,0.3,481.09,2020-03-12,2023-10-28,Winter,Afternoon,Loyalty Program,1060.3160258538114,3112.003538710928,-2051.6875128571164,763,2023-01-05,-193.49773679078467
CUST_XYCV8A,PROD_GEO4BY,TRANS_OHOMTE,2,87.07,Sports,61,Europe,0.25,4389.88,2020-01-16,2023-03-16,Winter,Afternoon,Loyalty Program,321.61371566163655,2130.7371837144933,-1809.1234680528569,168,2023-10-11,-562.5144015798754
CUST_1XBJ9U,PROD_ZDFDHP,TRANS_7QZT0M,16,90.59,Electronics,6,South America,0.45,6536.15,2022-08-10,2023-04-13,Spring,Morning,Email Campaign,1694.1186207399953,1301.0326319996034,393.08598874039194,231,2023-10-21,23.202979055191012
CUST_SG4B8W,PROD_HGV6XV,TRANS_KR47ZL,16,155.46,Electronics,71,Asia,0.28,514.55,2022-03-10,2023-09-23,Fall,Afternoon,Loyalty Program,2004.518719478462,1069.7247622509894,934.7939572274724,150,2023-03-22,46.63433412438714
CUST_YNB5QL,PROD_QKQZCD,TRANS_GNTBSC,1,29.43,Clothing,72,North America,0.37,6446.33,2022-08-28,2023-09-11,Fall,Afternoon,Loyalty Program,1429.61025569209,199.10190202136187,1230.5083536707282,664,2023-03-28,86.07299428437757
CUST_UL763Z,PROD_APLSZ5,TRANS_J4I69W,11,187.02,Home,47,North America,0.36,3209.14,2020-12-20,2023-08-17,Winter,Morning,Discount,4160.813794844454,2353.6208894380316,1807.1929054064221,550,2023-10-20,43.433640497098516
CUST_PLP8HF,PROD_06OMWE,TRANS_V5XD0N,8,193.61,Clothing,31,North America,0.09,4250.12,2022-05-29,2023-08-19,Summer,Evening,Discount,1848.0913007985876,958.3475908340852,889.7437099645024,386,2023-10-08,48.143926091748334
CUST_RB6RRC,PROD_FZPBJ0,TRANS_SUV302,1,165.46,Clothing,75,North America,0.49,3399.96,2021-03-30,2023-01-08,Summer,Morning,Discount,1476.5790974681656,635.1289919647132,841.4501055034524,381,2023-07-16,56.98645652957265
CUST_E8RVBQ,PROD_Q33F7S,TRANS_KWSVZ1,5,141.7,Clothing,27,North America,0.54,4979.03,2022-08-02,2023-11-06,Winter,Evening,Email Campaign,2759.2108074754174,2632.6283571193267,126.5824503560907,809,2023-09-09,4.587632449581092
CUST_BY0GMM,PROD_W0BL0N,TRANS_ZHY8NX,9,76.18,Clothing,88,Asia,0.92,6700.23,2021-09-08,2023-08-07,Summer,Evening,Email Campaign,790.5287023763369,2740.776568395118,-1950.247866018781,275,2023-03-24,-246.70171496067343
CUST_A2HM1J,PROD_LPYYDT,TRANS_YRXSEE,11,105.41,Clothing,19,Europe,0.35,8484.97,2021-02-21,2023-10-07,Fall,Morning,Discount,4030.7652056947945,3021.0118244177806,1009.7533812770139,617,2023-01-27,25.05115852072956
CUST_8G18L2,PROD_AYH2IY,TRANS_OO6E0E,12,195.98,Clothing,70,North America,0.94,2131.19,2020-01-23,2023-05-16,Spring,Afternoon,Discount,465.298154030877,2039.1287405374364,-1573.8305865065595,898,2023-11-29,-338.2413132036885
CUST_G141RX,PROD_57UL5X,TRANS_RL8R7X,13,40.69,Electronics,19,Asia,0.82,5732.6,2022-04-13,2023-02-26,Summer,Afternoon,Email Campaign,4935.745989342535,3581.515690555352,1354.2302987871826,860,2023-07-01,27.43719595196536
CUST_VZC5ZH,PROD_7PA2MO,TRANS_3CFDED,8,168.99,Electronics,75,Europe,0.04,4436.29,2020-05-15,2023-12-22,Winter,Morning,Discount,3883.9993695536214,3748.553875923,135.4454936306215,864,2023-05-15,3.4872686821828176
CUST_FSDTLK,PROD_B4YT9N,TRANS_YS9IFG,7,52.13,Electronics,40,North America,0.08,549.09,2021-04-22,2023-04-14,Winter,Evening,Discount,1073.7068395174447,3239.1152121803334,-2165.4083726628887,62,2023-03-31,-201.67594104514475
CUST_JPDA4D,PROD_C2Y1TF,TRANS_I949BV,12,121.6,Electronics,30,South America,0.76,3714.99,2021-06-21,2023-02-14,Fall,Afternoon,Loyalty Program,127.05837390565176,2560.5942539323396,-2433.5358800266877,467,2023-07-25,-1915.2896461855632
CUST_H4OVTS,PROD_VCTO6F,TRANS_35JLNS,17,39.01,Sports,74,Europe,0.13,7543.91,2020-09-10,2023-03-17,Winter,Afternoon,Discount,4095.7609994286872,1249.6977666851953,2846.063232743492,528,2023-01-27,69.48802025168182
CUST_Q19TO6,PROD_2WKC14,TRANS_TFY65O,13,161.93,Clothing,80,South America,0.23,6924.0,2022-07-18,2023-11-02,Summer,Evening,Email Campaign,3563.600984853324,3932.6324403998738,-369.03145554654975,862,2023-02-28,-10.355577325157208
CUST_QH5U2G,PROD_XISEVK,TRANS_BI87V2,10,69.27,Home,48,Asia,0.12,955.14,2022-11-03,2023-08-25,Summer,Morning,Email Campaign,3672.135123400838,1132.8378604081565,2539.2972629926817,150,2023-03-13,69.15043095257856
CUST_REKKSM,PROD_60BHU4,TRANS_7EEQ6S,5,78.06,Clothing,39,Asia,0.8,5970.92,2021-02-18,2023-12-07,Fall,Evening,Discount,3879.2246987611343,850.4948418622026,3028.7298568989318,142,2023-08-15,78.07564892712155
CUST_12P5SP,PROD_9HDA2G,TRANS_HVCWAE,4,37.09,Sports,76,Europe,0.05,6353.19,2022-08-04,2023-03-06,Spring,Afternoon,Discount,462.81879349704275,1796.5087494570018,-1333.6899559599592,116,2023-04-01,-288.1667673610754
CUST_934TJ6,PROD_ZNVVA4,TRANS_Y85IB3,10,105.61,Clothing,57,Asia,0.37,6435.21,2020-12-27,2023-11-13,Winter,Afternoon,Loyalty Program,1856.4820698669357,274.5202543139344,1581.9618155530013,824,2023-03-09,85.21287876841112
CUST_FJPJ16,PROD_LIHMIO,TRANS_1B9BW3,13,65.97,Clothing,22,Asia,0.08,3889.56,2022-09-22,2023-04-16,Winter,Morning,Discount,667.7583916731356,3915.0531354535738,-3247.2947437804382,65,2023-12-28,-486.2978562716397
CUST_4LYGW1,PROD_CHEZ3Y,TRANS_BVJ93X,10,44.92,Electronics,71,North America,0.15,6286.12,2022-10-02,2023-12-19,Spring,Morning,Loyalty Program,4329.206786790408,2374.312547844878,1954.89423894553,429,2023-09-17,45.15594507775526
CUST_SASUTZ,PROD_KDYCI7,TRANS_8M3BGP,13,175.81,Clothing,60,Europe,0.25,2173.1,2022-04-13,2023-12-06,Summer,Morning,Email Campaign,3154.160821455034,2249.9607620734923,904.2000593815415,310,2023-05-26,28.666897807843178
CUST_1F6ITR,PROD_6JC3IE,TRANS_9N8RPV,4,48.07,Home,74,North America,0.94,182.6,2021-05-22,2023-04-07,Spring,Morning,Loyalty Program,1721.400321777981,2640.3953056038936,-918.9949838259126,706,2023-03-04,-53.3864768235149
CUST_A8JHLW,PROD_W15OP6,TRANS_2RANWV,8,82.69,Clothing,67,Asia,0.28,7565.07,2022-05-17,2023-12-27,Summer,Morning,Loyalty Program,411.4359164015158,2013.2434087199663,-1601.8074923184504,854,2023-12-09,-389.32125963336273
CUST_W8IZWM,PROD_JV3HSP,TRANS_VR2LMK,1,156.04,Electronics,45,North America,0.53,9792.55,2020-08-04,2023-12-02,Fall,Afternoon,Loyalty Program,1623.8133764067447,176.65089252343927,1447.1624838833054,430,2023-06-29,89.1212318428894
CUST_6P1OQQ,PROD_VE9FAM,TRANS_DIIJRJ,8,46.0,Clothing,79,Asia,0.43,2945.99,2020-07-10,2023-06-23,Fall,Morning,Loyalty Program,1693.3982779310604,2468.6295909195674,-775.2313129885069,161,2023-04-21,-45.77962096050196
CUST_A6XFY9,PROD_FOM3QG,TRANS_T1L4M8,1,186.54,Sports,72,South America,0.22,5576.28,2021-03-21,2023-01-25,Summer,Morning,Discount,3675.0702738565137,2878.886813977901,796.1834598786127,975,2023-07-10,21.66444178067704
CUST_MW3LV2,PROD_BRGWOE,TRANS_JG2Z1Q,14,157.37,Sports,36,Asia,0.37,726.95,2020-10-19,2023-04-16,Summer,Evening,Email Campaign,3224.0316096405445,1696.15878946501,1527.8728201755346,306,2023-09-03,47.390131523737786
CUST_A9PHFE,PROD_W78Y00,TRANS_KX7QRM,16,175.7,Clothing,81,Asia,0.76,3128.79,2022-11-07,2023-06-03,Winter,Evening,Email Campaign,4447.342438624,3041.317509681212,1406.0249289427884,361,2023-10-05,31.61494641680459
CUST_HOB0YK,PROD_OE7XRF,TRANS_JE2056,10,138.67,Sports,42,Europe,0.74,8802.47,2022-01-11,2023-09-30,Fall,Morning,Loyalty Program,2413.8531332935518,946.6551323867615,1467.1980009067902,278,2023-12-13,60.78240555194384
CUST_BRRRRU,PROD_VK226H,TRANS_JJBKYL,3,172.19,Electronics,51,North America,0.24,843.02,2022-10-07,2023-08-02,Summer,Evening,Loyalty Program,686.0118050976783,924.0425347114269,-238.03072961374858,296,2023-10-24,-34.69775998677696
CUST_DA0I76,PROD_FXKWAD,TRANS_OS9M5E,8,30.95,Home,60,Asia,0.25,7759.72,2021-08-11,2023-09-24,Fall,Evening,Loyalty Program,3594.8994573926757,687.5971013659171,2907.3023560267584,551,2023-12-03,80.87298102449239
CUST_7GAVM9,PROD_PUWL9C,TRANS_1N44GP,11,69.05,Home,74,North America,0.04,3421.3,2020-01-04,2023-06-30,Summer,Morning,Loyalty Program,3827.8467382227973,1519.3793011671894,2308.4674370556077,873,2023-05-03,60.30720650345026
CUST_Z6QSTD,PROD_ZKTGY4,TRANS_MPRMR4,5,32.18,Sports,61,North America,0.23,2682.46,2022-12-24,2023-02-08,Spring,Afternoon,Loyalty Program,2850.2582680905316,3395.69753978688,-545.4392716963484,169,2023-02-26,-19.13648590384596
CUST_HXOYK8,PROD_0HPPRU,TRANS_L6C5IH,7,35.98,Home,6,South America,0.08,3408.85,2021-08-11,2023-11-27,Summer,Afternoon,Email Campaign,3877.7391817773487,3320.252645488804,557.4865362885448,459,2023-06-09,14.376586721158041
CUST_VLBL5K,PROD_JQKMA9,TRANS_B1AGUQ,10,97.5,Sports,63,South America,0.39,6008.65,2022-11-03,2023-07-08,Winter,Morning,Loyalty Program,2519.5984221855147,1562.15562145584,957.4428007296747,580,2023-05-07,37.99981744309806
CUST_5T9TN8,PROD_J0NICY,TRANS_UR3NI6,1,120.55,Electronics,25,Europe,0.86,4170.5,2020-01-01,2023-09-13,Fall,Afternoon,Discount,2661.390863971771,2377.0190071219345,284.3718568498366,7,2023-08-13,10.685084280534785
CUST_2WBGJJ,PROD_5RE3HX,TRANS_DHYRAM,19,103.19,Clothing,53,South America,0.12,666.12,2022-07-04,2023-10-15,Spring,Evening,Discount,2194.9509899568934,2897.2244500759166,-702.2734601190232,597,2023-04-05,-31.99494946959226
CUST_I40LLF,PROD_J7IA73,TRANS_O0F7IU,11,61.74,Clothing,24,North America,0.49,1517.8,2020-06-28,2023-11-18,Spring,Evening,Discount,224.5537210460664,1002.7667597806908,-778.2130387346244,711,2023-11-07,-346.5598499590112
CUST_7USGEB,PROD_KYQOGN,TRANS_8PY3IV,10,128.51,Clothing,19,South America,0.1,977.86,2021-06-10,2023-03-09,Fall,Evening,Email Campaign,628.6679922671918,714.157289284251,-85.48929701705913,132,2023-01-06,-13.598480926117373
CUST_ZYJ13O,PROD_ULSC9X,TRANS_PIZN0P,8,72.7,Home,83,South America,0.86,7231.13,2020-03-19,2023-03-16,Winter,Afternoon,Discount,254.00300986499784,3889.7791731886286,-3635.776163323631,588,2023-09-22,-1431.3909765305693
CUST_ZIMOOB,PROD_50ZMSE,TRANS_XDO4Y2,13,199.76,Home,60,South America,0.24,1666.64,2022-06-05,2023-10-22,Fall,Morning,Loyalty Program,3218.411015192524,2489.351387177993,729.059628014531,762,2023-08-22,22.652781903026113
CUST_BQQQVX,PROD_91W0VF,TRANS_3NDXUA,2,122.65,Clothing,55,Asia,0.38,567.28,2020-08-31,2023-06-25,Fall,Afternoon,Loyalty Program,1640.3443072740008,3926.592101242972,-2286.2477939689716,347,2023-10-15,-139.37609219178887
CUST_52EO2K,PROD_MSW50K,TRANS_QE16CC,17,91.92,Sports,76,Europe,0.12,9238.72,2020-07-05,2023-10-06,Fall,Evening,Discount,2591.9963867070437,1384.1361491723048,1207.8602375347389,955,2023-01-16,46.5996111618521
